tier,division,match_id
GRANDMASTERS,GR,NA1_4580342907
GRANDMASTERS,GR,NA1_4579948435
GRANDMASTERS,GR,NA1_4579925147
GRANDMASTERS,GR,NA1_4579624632
GRANDMASTERS,GR,NA1_4579608962
GRANDMASTERS,GR,NA1_4579514604
GRANDMASTERS,GR,NA1_4579487177
GRANDMASTERS,GR,NA1_4579450287
GRANDMASTERS,GR,NA1_4579174432
GRANDMASTERS,GR,NA1_4579153107
GRANDMASTERS,GR,NA1_4579135980
GRANDMASTERS,GR,NA1_4578793178
GRANDMASTERS,GR,NA1_4578756617
GRANDMASTERS,GR,NA1_4578733029
GRANDMASTERS,GR,NA1_4578700092
GRANDMASTERS,GR,NA1_4578664064
GRANDMASTERS,GR,NA1_4578614425
GRANDMASTERS,GR,NA1_4578572350
GRANDMASTERS,GR,NA1_4578245316
GRANDMASTERS,GR,NA1_4577989114
GRANDMASTERS,GR,NA1_4577971828
GRANDMASTERS,GR,NA1_4577923198
GRANDMASTERS,GR,NA1_4577890553
GRANDMASTERS,GR,NA1_4577857641
GRANDMASTERS,GR,NA1_4577822760
GRANDMASTERS,GR,NA1_4577778409
GRANDMASTERS,GR,NA1_4577731701
GRANDMASTERS,GR,NA1_4577717836
GRANDMASTERS,GR,NA1_4577695901
GRANDMASTERS,GR,NA1_4577614245
GRANDMASTERS,GR,NA1_4577589441
GRANDMASTERS,GR,NA1_4577564533
GRANDMASTERS,GR,NA1_4590088071
GRANDMASTERS,GR,NA1_4590032357
GRANDMASTERS,GR,NA1_4590002986
GRANDMASTERS,GR,NA1_4589975021
GRANDMASTERS,GR,NA1_4589931367
GRANDMASTERS,GR,NA1_4589878594
GRANDMASTERS,GR,NA1_4589849803
GRANDMASTERS,GR,NA1_4589814143
GRANDMASTERS,GR,NA1_4589778231
GRANDMASTERS,GR,NA1_4589739546
GRANDMASTERS,GR,NA1_4589716395
GRANDMASTERS,GR,NA1_4589693522
GRANDMASTERS,GR,NA1_4589674151
GRANDMASTERS,GR,NA1_4589312222
GRANDMASTERS,GR,NA1_4589279362
GRANDMASTERS,GR,NA1_4589128649
GRANDMASTERS,GR,NA1_4589086370
GRANDMASTERS,GR,NA1_4589056103
GRANDMASTERS,GR,NA1_4589026524
GRANDMASTERS,GR,NA1_4588969463
GRANDMASTERS,GR,NA1_4588951844
GRANDMASTERS,GR,NA1_4588926894
GRANDMASTERS,GR,NA1_4588899349
GRANDMASTERS,GR,NA1_4588392700
GRANDMASTERS,GR,NA1_4588368949
GRANDMASTERS,GR,NA1_4588337753
GRANDMASTERS,GR,NA1_4588150476
GRANDMASTERS,GR,NA1_4588108918
GRANDMASTERS,GR,NA1_4588078903
GRANDMASTERS,GR,NA1_4588059000
GRANDMASTERS,GR,NA1_4588027106
GRANDMASTERS,GR,NA1_4587639392
GRANDMASTERS,GR,NA1_4587613409
GRANDMASTERS,GR,NA1_4587600972
GRANDMASTERS,GR,NA1_4587569865
GRANDMASTERS,GR,NA1_4587547015
GRANDMASTERS,GR,NA1_4587517807
GRANDMASTERS,GR,NA1_4587473946
GRANDMASTERS,GR,NA1_4587430406
GRANDMASTERS,GR,NA1_4587398293
GRANDMASTERS,GR,NA1_4587362172
GRANDMASTERS,GR,NA1_4587318352
GRANDMASTERS,GR,NA1_4587280416
GRANDMASTERS,GR,NA1_4587255860
GRANDMASTERS,GR,NA1_4587205645
GRANDMASTERS,GR,NA1_4587199843
GRANDMASTERS,GR,NA1_4587173973
GRANDMASTERS,GR,NA1_4587146369
GRANDMASTERS,GR,NA1_4587121548
GRANDMASTERS,GR,NA1_4586678663
GRANDMASTERS,GR,NA1_4589653851
GRANDMASTERS,GR,NA1_4589618166
GRANDMASTERS,GR,NA1_4589602938
GRANDMASTERS,GR,NA1_4589586810
GRANDMASTERS,GR,NA1_4589538904
GRANDMASTERS,GR,NA1_4589517595
GRANDMASTERS,GR,NA1_4589511127
GRANDMASTERS,GR,NA1_4589496638
GRANDMASTERS,GR,NA1_4589496773
GRANDMASTERS,GR,NA1_4589473711
GRANDMASTERS,GR,NA1_4589468222
GRANDMASTERS,GR,NA1_4589465929
GRANDMASTERS,GR,NA1_4589452430
GRANDMASTERS,GR,NA1_4589443040
GRANDMASTERS,GR,NA1_4589428303
GRANDMASTERS,GR,NA1_4589414653
GRANDMASTERS,GR,NA1_4589407593
GRANDMASTERS,GR,NA1_4588725048
GRANDMASTERS,GR,NA1_4586029423
GRANDMASTERS,GR,NA1_4586014375
GRANDMASTERS,GR,NA1_4586007814
GRANDMASTERS,GR,NA1_4585977713
GRANDMASTERS,GR,NA1_4585959428
GRANDMASTERS,GR,NA1_4585948671
GRANDMASTERS,GR,NA1_4585943212
GRANDMASTERS,GR,NA1_4585932211
GRANDMASTERS,GR,NA1_4585246294
GRANDMASTERS,GR,NA1_4585228969
GRANDMASTERS,GR,NA1_4585223828
GRANDMASTERS,GR,NA1_4585198318
GRANDMASTERS,GR,NA1_4585175567
GRANDMASTERS,GR,NA1_4585170717
GRANDMASTERS,GR,NA1_4585149703
GRANDMASTERS,GR,NA1_4585146023
GRANDMASTERS,GR,NA1_4584428387
GRANDMASTERS,GR,NA1_4584415128
GRANDMASTERS,GR,NA1_4584390982
GRANDMASTERS,GR,NA1_4584367573
GRANDMASTERS,GR,NA1_4584360988
GRANDMASTERS,GR,NA1_4584351288
GRANDMASTERS,GR,NA1_4584339439
GRANDMASTERS,GR,NA1_4584337005
GRANDMASTERS,GR,NA1_4584326334
GRANDMASTERS,GR,NA1_4584319216
GRANDMASTERS,GR,NA1_4584310564
GRANDMASTERS,GR,NA1_4583687805
GRANDMASTERS,GR,NA1_4583662060
GRANDMASTERS,GR,NA1_4583629992
GRANDMASTERS,GR,NA1_4583612258
GRANDMASTERS,GR,NA1_4583596544
GRANDMASTERS,GR,NA1_4589121121
GRANDMASTERS,GR,NA1_4585364527
GRANDMASTERS,GR,NA1_4585089389
GRANDMASTERS,GR,NA1_4585075897
GRANDMASTERS,GR,NA1_4585061878
GRANDMASTERS,GR,NA1_4585036164
GRANDMASTERS,GR,NA1_4585024002
GRANDMASTERS,GR,NA1_4584998267
GRANDMASTERS,GR,NA1_4584973930
GRANDMASTERS,GR,NA1_4584941439
GRANDMASTERS,GR,NA1_4584916973
GRANDMASTERS,GR,NA1_4584865062
GRANDMASTERS,GR,NA1_4584798714
GRANDMASTERS,GR,NA1_4584707111
GRANDMASTERS,GR,NA1_4584674304
GRANDMASTERS,GR,NA1_4584651235
GRANDMASTERS,GR,NA1_4584612512
GRANDMASTERS,GR,NA1_4584599965
GRANDMASTERS,GR,NA1_4584524732
GRANDMASTERS,GR,NA1_4584508320
GRANDMASTERS,GR,NA1_4584492769
GRANDMASTERS,GR,NA1_4584467632
GRANDMASTERS,GR,NA1_4584456162
GRANDMASTERS,GR,NA1_4584274985
GRANDMASTERS,GR,NA1_4584254283
GRANDMASTERS,GR,NA1_4584236941
GRANDMASTERS,GR,NA1_4584219912
GRANDMASTERS,GR,NA1_4584190137
GRANDMASTERS,GR,NA1_4584166798
GRANDMASTERS,GR,NA1_4584118832
GRANDMASTERS,GR,NA1_4584071340
GRANDMASTERS,GR,NA1_4584044804
GRANDMASTERS,GR,NA1_4584008010
GRANDMASTERS,GR,NA1_4583951515
GRANDMASTERS,GR,NA1_4583840757
GRANDMASTERS,GR,NA1_4583803136
GRANDMASTERS,GR,NA1_4583766392
GRANDMASTERS,GR,NA1_4583681744
GRANDMASTERS,GR,NA1_4583658461
GRANDMASTERS,GR,NA1_4583196118
GRANDMASTERS,GR,NA1_4583054450
GRANDMASTERS,GR,NA1_4583032184
GRANDMASTERS,GR,NA1_4583000171
GRANDMASTERS,GR,NA1_4582973043
GRANDMASTERS,GR,NA1_4582940656
GRANDMASTERS,GR,NA1_4582913680
GRANDMASTERS,GR,NA1_4582885845
GRANDMASTERS,GR,NA1_4582862054
GRANDMASTERS,GR,NA1_4582834986
GRANDMASTERS,GR,NA1_4582798585
GRANDMASTERS,GR,NA1_4589506185
GRANDMASTERS,GR,NA1_4589487321
GRANDMASTERS,GR,NA1_4589476399
GRANDMASTERS,GR,NA1_4589472814
GRANDMASTERS,GR,NA1_4588682011
GRANDMASTERS,GR,NA1_4588669171
GRANDMASTERS,GR,NA1_4587882227
GRANDMASTERS,GR,NA1_4587847171
GRANDMASTERS,GR,NA1_4586062986
GRANDMASTERS,GR,NA1_4586041318
GRANDMASTERS,GR,NA1_4586026833
GRANDMASTERS,GR,NA1_4586003662
GRANDMASTERS,GR,NA1_4585994245
GRANDMASTERS,GR,NA1_4585980886
GRANDMASTERS,GR,NA1_4585523728
GRANDMASTERS,GR,NA1_4584534274
GRANDMASTERS,GR,NA1_4584489984
GRANDMASTERS,GR,NA1_4584360456
